,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,particulars,in,out,Difference,,Names,"Rasid 
Cashed","Rasid 
ACC QR","Cheque 
Cashed","Cheque  
Deposit (EBL)","Cheque
ACC AR",,B.N,C,Q,POS,IPS/EBL,Esewa,Online,Tot Cash,Cheque,Credit,Tot Credit,Tot Sales,,Deno,Count,Total,,Denomination,Count,Total,,Denomination,Count,Total,,Deno,Count,Total
1,C,680150,---------------,,,Smirti Fancy,,,17000,,,,entry,------------,993488,0,126000,0,---------------,---------------,82000,7380,---------------,---------------,,OPENING,------------,16750,,OPENING,------------,,,OPENING,------------,,,OPENING,------------,
2,QR,993488,---------------,,,Prajapati Bhatta,,,,126000,,,1.1,104115,24645,,,,,128760,,2062,2062,130822,,1000,525,525000,,1000,,0,,1000,,0,,1000,,0
3,Online QR,0,---------------,,,,,,,,,,1.2,70050,133135,,,,,203185,,,0,203185,,500,222,111000,,500,,0,,500,,0,,500,,0
4,IPS/EBL,0,---------------,,,,,,,,,,1.3,117155,192530,,,,,309685,82000,,82000,391685,,100,138,13800,,100,,0,,100,,0,,100,,0
5,ESewa,0,0,0,,,,,,,,,1.4,21340,46425,,,,,67765,,,0,67765,,50,162,8100,,50,,0,,50,,0,,50,,0
6,POS,0,0,0,,,,,,,,,1.5,,,,,,,0,,,0,0,,20,138,2760,,20,,0,,20,,0,,20,,0
1,Collection Cash,"17,000",---------------,,,,,,,,,,Total,312660,396735,0,0,0,0,709395,82000,2062,84062,793457,,10,50,500,,10,,0,,10,,0,,10,,0
2,Collection QR,0,---------------,,,,,,,,,,2.1,79820,59800,,,,,139620,,1925,1925,141545,,5,42,210,,5,,0,,5,,0,,5,,0
3,Collection EBL,"126,000",---------------,,,,0,0,"17,000","126,000",0,,2.2,,,,,,,0,,,0,0,,500,68,54400,,500,0,0,,500,0,0,,500,0,0
1,Total C,697150,699020,1870,,,,,,,,,2.3,,,,,,,0,,,0,0,,Closing,------------,715770,,Closing,------------,0,,Closing,------------,0,,Closing,------------,0
2,Total QR,993488,993488,0,,,,,,,,,2.4,,,,,,,0,,,0,0,,Total Sales,,"699,020",,,,0,,,,0,,,,0
3,Total IPS/EBL,126000,126000,0,,,,,,,,,2.5,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,
,Total,1816638,1818508,1870,,,,,,,,,Total,79820,59800,0,0,0,0,139620,0,1925,1925,141545,,,,,,,,,,,,,,,,
1,Cheque,82000,82000,0,,,,,,,,,3.1,63655,52375,,,,,116030,,,0,116030,,Denomination,Count,Total,,,,,,,,,,,,
2,Credit,7380,7380,0,,,,,,,,,3.2,136765,71350,,,,,208115,,,0,208115,,1000,525,525000,,,,,,,,,,,,
,,,,,,,,,,,,,3.3,66515,342940,,,,,409455,,1575,1575,411030,,500,222,111000,,,,,,,,,,,,
,,,,,,,,,,,,,3.4,20735,70288,,,,,91023,,1818,1818,92841,,500,68,54400,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,,,,,,,0,,,0,0,,Home,,690400,,,,,,,,,,,,
,,,,,,,,,,,,,Total,287670,536953,0,0,0,0,824623,0,3393,3393,828016,,100,138,13800,,,,,,,,,,,,
,,,,,,,,,,,,,4.1,,,,,,,0,,,0,0,,50,162,8100,,,,,,,,,,,,
,,,,,,,,,,,,,4.2,,,,,,,0,,,0,0,,20,138,2760,,,,,,,,,,,,
,,,,,,,,,,,,,4.3,,,,,,,0,,,0,0,,10,50,500,,,,,,,,,,,,
,,,,,,,,,,,,,4.4,,,,,,,0,,,0,0,,5,42,210,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,,,,,,,0,,,0,0,,Change,,25370,,,,,,,,,,,,
,,,,,,,,,,,,,Total,0,0,0,0,0,0,0,0,0,0,0,,,,"715,770",,,,,,,,,,,,
,,,,,,,,,,,,,5.1,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.2,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.3,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.4,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.5,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,GT,680150,993488,0,0,0,0,1673638,82000,7380,89380,1763018,,,,,,,,,,,,,,,,
